Time Passed,Ant Count,Beetle Count
0,100,5
1,98,5
2,94,5
3,182,4
4,180,4
5,204,4
6,305,3
7,305,3
8,338,6
9,372,6
10,371,5
11,380,5
12,386,5
13,391,5
14,391,5
15,395,5
16,392,8
17,390,8
18,388,8
19,380,8
20,381,8
21,381,8
22,378,8
23,379,10
24,376,15
25,367,15
26,365,14
27,364,14
28,357,14
29,360,14
30,361,14
31,355,20
32,352,26
33,341,26
34,322,24
35,323,24
36,315,24
37,303,24
38,307,24
39,303,37
40,291,45
41,275,43
42,266,39
43,255,34
44,253,32
45,252,30
46,238,30
47,238,43
48,222,48
49,202,47
50,201,42
